Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Sam Hilliard","ATL",23,98,88,17,11,3,0,3,11,10,9,0,33,1,0,0,1,2,1,0.195771,0.0890724,0.339974,0.261997,0.2718,0.341668,0.271577,0.613468,0.145896,5.0349,0.274388,,0.0471282,8.2154,-2.96316,70.578,0.0471282,0.87,-3.29465339332819,0.16012346744537354,0.0156188,723.4600219726562,,,,"17954"
"Jo Adell","LAA",13,56,52,11,7,2,0,2,7,6,3,0,19,1,0,0,1,1,0,0.219753,0.0595664,0.341115,0.174623,0.274501,0.383584,0.287642,0.658085,0.16383,5.1702,0.306971,,0.0462137,5.41745,-0.982419,84.1866,0.0462137,-0.08,-0.9497478604316711,-0.6818518191576004,0.0155079,483.4200134277344,,,,"20220"
"Rylan Bannon","HOU",3,14,13,3,2,1,0,0,1,1,1,0,4,0,0,0,0,0,0,0.207195,0.0880193,0.26585,0.331087,0.284191,0.331348,0.274892,0.615539,0.124154,4.03011,0.266381,,-0.00209637,1.22136,-0.390049,77.6042,-0.00209637,0,-0.35725386277772486,0.046296294778585434,0.0143897,999,,,,"19768"
"Stephen Piscotty",,13,56,51,11,8,2,0,2,6,6,4,0,15,1,0,0,1,0,0,0.224644,0.0687536,0.273778,0.251129,0.286939,0.36727,0.288155,0.654209,0.142626,3.18873,0.284525,,-0.0185038,5.44547,-0.960534,85.2571,-0.0185038,-0.13,-0.963020907714963,-0.7318518161773682,0.0143208,999,,,,"13367"
"Ehire Adrianza",,6,28,25,6,4,1,0,0,3,2,2,0,6,0,0,0,1,0,0,0.222464,0.0828509,0.225942,0.366691,0.294256,0.323001,0.276119,0.617257,0.100536,3.74083,0.279844,,-0.0170668,2.448,-0.745869,73.6826,-0.0170668,-0.03,-0.871113620698452,0.06259259022772312,0.0136034,999,,,,"8418"
"Garrett Hampson",,3,14,12,3,2,0,0,0,1,1,1,0,4,0,0,0,0,1,0,0.220754,0.0749418,0.267815,0.279826,0.283202,0.329579,0.271865,0.612781,0.108825,6.16335,0.292147,,0.043288,1.15457,-0.412169,75.5355,0.043288,-0.13,-0.34616386890411377,0.008888885378837585,0.0129037,698.8099975585938,,,,"19262"
"Khalil Lee","NYM",3,14,12,2,2,1,0,0,2,1,1,0,5,0,0,0,0,0,0,0.200568,0.0955272,0.362813,0.263296,0.29266,0.312226,0.274302,0.604887,0.111659,5.37707,0.315851,,0.0119396,1.21872,-0.397939,80.7975,0.0119396,0.08,-0.3034872356802225,-0.05888888239860535,0.0118077,749.469970703125,,,,"19952"
"Michael Stefanic","LAA",2,7,6,2,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0.249438,0.074531,0.135247,0.551072,0.315384,0.322166,0.285217,0.63755,0.0727285,3.33605,0.283546,,-0.00541442,0.663709,-0.136275,82.4753,-0.00541442,0,-0.1433823173865676,0.03086419589817524,0.0115385,999,,,,"25353"
"Parker Meadows","DET",28,114,104,23,15,5,1,2,11,10,8,0,27,1,1,1,2,2,0,0.21688,0.0719103,0.233253,0.308293,0.277643,0.33681,0.271196,0.614453,0.11993,4.74993,0.268955,,0.0312199,9.5641,-3.49668,75.6598,0.0312199,0,-3.0973192248493433,-0.43209877610206604,0.0106839,999,,,,"sa3007943"
"Edwin Ríos",,60,259,234,50,29,11,0,10,27,32,19,1,90,3,2,0,4,1,0,0.211604,0.0750679,0.348648,0.215311,0.280088,0.38576,0.290772,0.665848,0.174156,2.72423,0.29315,,-0.169333,25.7238,-3.90397,87.0745,-0.169333,-0.3,-3.999226853251457,-4.374074280261993,0.0101114,693.6500244140625,,,,"18316"
