Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Anthony Rendon","LAA",131,565,489,124,76,28,1,18,70,64,64,3,96,7,5,1,9,2,1,0.253931,0.113146,0.170183,0.664847,0.34497,0.429517,0.338443,0.774487,0.175586,2.95658,0.279157,,-0.525146,77.5788,12.8917,120.036,-0.525146,0.22,12.229640543460846,1.2432813346385956,3.3029,248.0399932861328,,,,"12861"
"Danny Jansen","TOR",123,499,440,103,57,21,1,23,61,66,45,2,106,9,3,3,8,2,1,0.23367,0.089701,0.212554,0.422014,0.314495,0.445262,0.329735,0.759757,0.211592,2.938,0.253938,,-0.343015,64.9525,7.91768,116.372,-0.343015,3.86,8.84662264585495,6.613651275634766,3.28819,183.30999755859375,,,,"16535"
"Luis Robert Jr.","CHW",139,589,541,149,95,30,2,22,78,73,36,2,124,8,4,1,10,14,4,0.275816,0.0607701,0.210864,0.288196,0.328079,0.462008,0.340937,0.790087,0.186191,4.94205,0.318878,,0.49126,82.039,14.607,123.063,0.49126,-4.98,15.796302020549774,-3.2340195178985596,3.28741,49.459999084472656,,,,"20043"
"Gunnar Henderson","BAL",139,592,525,129,82,28,4,15,71,61,57,1,162,5,4,0,11,9,2,0.24602,0.0969806,0.273656,0.354389,0.324474,0.40247,0.319245,0.726945,0.15645,5.22541,0.323748,,0.386182,72.1333,4.46433,108.567,0.386182,1.36,6.091481775045395,6.398400664329529,3.28673,92.54000091552734,,,,"26289"
"Luis Arraez","MIA",136,582,522,155,119,28,3,5,67,56,51,3,48,3,5,1,14,5,2,0.296936,0.0877027,0.0829557,1.05722,0.360089,0.391673,0.33113,0.751762,0.0947368,3.84725,0.31663,,-0.471218,76.4226,9.88181,118.112,-0.471218,2.89,11.38933601975441,1.3281280994415283,3.27769,217.30999755859375,,,,"18568"
"Taylor Ward","LAA",141,607,532,141,87,28,2,24,82,74,63,1,137,7,4,1,10,5,2,0.264172,0.104041,0.225333,0.461721,0.347753,0.457924,0.350641,0.805677,0.193752,3.87131,0.311495,,-0.217626,89.2115,19.7327,128.644,-0.217626,-1.17,19.36808606982231,-7.5965718030929565,3.26413,125.45999908447266,,,,"17548"
"George Springer","TOR",138,590,519,133,81,25,2,25,79,75,58,1,115,8,3,1,10,10,3,0.255833,0.0987946,0.194416,0.50816,0.337768,0.455207,0.34532,0.792975,0.199374,4.43381,0.281797,,0.0438855,84.1348,16.6681,127.37,0.0438855,-0.79,18.216576866805553,-6.1767101883888245,3.23358,83.58000183105469,,,,"12856"
"Amed Rosario","CLE",143,606,569,158,117,27,4,10,72,63,29,0,106,4,4,1,14,14,4,0.278667,0.0478295,0.175318,0.272816,0.315695,0.3934,0.310029,0.709095,0.114733,5.45824,0.325491,,0.638338,69.4532,0.136261,101.66,0.638338,3.09,1.7707030773162842,9.710370302200317,3.22891,120.45999908447266,,,,"15518"
"Matt Olson","ATL",156,671,580,144,79,29,2,34,90,95,78,6,148,8,5,0,11,2,1,0.247752,0.115981,0.219921,0.527376,0.342803,0.480146,0.353649,0.822949,0.232394,2.9612,0.271713,,-0.553211,100.135,23.3973,126.674,-0.553211,-0.44,20.24495553970337,-12.477036893367767,3.1821,47.27000045776367,,,,"14344"
"Jeff McNeil","NYM",144,627,565,154,112,31,3,9,69,65,44,2,76,13,5,1,14,2,1,0.273365,0.0706981,0.121232,0.583164,0.337276,0.384896,0.318338,0.722171,0.11153,3.51648,0.300731,,-0.523941,76.0214,4.28062,110.896,-0.523941,0.62,7.418219268321991,1.411826252937317,3.13952,200.85000610351562,,,,"15362"
