"game_pk","officialDate","gameNumber","doubleHeader","away_team_name","home_team_name","VisitorRunsScored","HomeRunsScored","F5_VisitorRunsScored","F5_HomeRunsScored"
661757,"2022-04-27",1,"N","Boston Red Sox","Toronto Blue Jays",7,1,1,1
661552,"2022-04-27",1,"N","Chicago Cubs","Atlanta Braves",6,3,3,1
661739,"2022-04-27",1,"N","Detroit Tigers","Minnesota Twins",0,5,0,4
661964,"2022-04-27",1,"N","Houston Astros","Texas Rangers",4,3,4,2
663439,"2022-04-27",1,"N","Cleveland Guardians","Los Angeles Angels",5,9,2,7
662066,"2022-04-27",1,"N","Oakland Athletics","San Francisco Giants",1,0,1,0
663078,"2022-04-28",1,"N","San Diego Padres","Cincinnati Reds",7,5,1,2
662295,"2022-04-28",1,"N","Milwaukee Brewers","Pittsburgh Pirates",3,2,1,0
661641,"2022-04-28",1,"N","Colorado Rockies","Philadelphia Phillies",1,7,0,3
662538,"2022-04-28",1,"N","Miami Marlins","Washington Nationals",3,2,1,1
661305,"2022-04-28",1,"N","Baltimore Orioles","New York Yankees",5,10,2,4
661908,"2022-04-28",1,"N","Seattle Mariners","Tampa Bay Rays",1,2,1,1
661729,"2022-04-28",1,"N","Detroit Tigers","Minnesota Twins",1,7,1,6
661912,"2022-04-28",1,"N","Houston Astros","Texas Rangers",3,2,0,0
661532,"2022-04-28",1,"N","Kansas City Royals","Chicago White Sox",5,2,2,0
661827,"2022-04-28",1,"N","Boston Red Sox","Toronto Blue Jays",0,1,0,1
663432,"2022-04-28",1,"N","Cleveland Guardians","Los Angeles Angels",1,4,1,3
661551,"2022-04-28",1,"N","Chicago Cubs","Atlanta Braves",1,5,1,2
662047,"2022-04-28",1,"N","Arizona Diamondbacks","St. Louis Cardinals",3,8,0,5
662296,"2022-04-29",1,"N","San Diego Padres","Pittsburgh Pirates",7,3,4,3
661390,"2022-04-29",1,"N","Seattle Mariners","Miami Marlins",6,8,3,8
663337,"2022-04-29",1,"N","Boston Red Sox","Baltimore Orioles",3,1,3,0
661826,"2022-04-29",1,"N","Houston Astros","Toronto Blue Jays",11,7,5,4
661907,"2022-04-29",1,"N","Minnesota Twins","Tampa Bay Rays",1,6,1,6
662592,"2022-04-29",1,"N","Philadelphia Phillies","New York Mets",0,3,0,2
661535,"2022-04-29",1,"N","Los Angeles Angels","Chicago White Sox",5,1,2,1
