"Team","G","IP","K.","BB.","HR.9","BABIP","LOB.","GB.","LD.","FB.","HR.FB","EV","WHIP","ERA","FIP","xFIP","SIERA","WAR","O.Swing.","F.Strike.","SwStr.","Zone.","Barrel.","HardHit.","Date"
"Nationals",17,15.2,0.212,0.121,0.57,0.209,0.843,0.302,0.302,0.395,0.059,88.5,1.15,1.15,3.77,5.03,4.89,0.1,0.232,0.545,0.1,0.427,0.045,0.318,2020-07-29
"Indians",14,15,0.3,0.067,0,0.257,0.813,0.441,0.147,0.412,0,85.5,0.87,1.2,2.19,3.99,3.16,0.4,0.353,0.633,0.13,0.435,0.086,0.257,2020-07-29
"Cardinals",13,14,0.167,0.063,0,0.081,0.5,0.432,0.189,0.378,0,90.7,0.43,1.29,2.69,4.62,4.6,0.3,0.355,0.646,0.126,0.469,0,0.351,2020-07-29
"Rockies",11,13.2,0.241,0.056,0,0.243,0.846,0.444,0.194,0.361,0,85.7,0.88,1.32,2.17,4,3.63,0.5,0.319,0.611,0.113,0.429,0,0.27,2020-07-29
"Dodgers",22,22,0.275,0.088,0,0.2,0.778,0.44,0.22,0.34,0,83.9,0.77,1.64,2.28,3.77,3.62,0.6,0.354,0.563,0.16,0.407,0.02,0.28,2020-07-29
"Athletics",22,25.1,0.233,0.068,0.36,0.254,0.772,0.437,0.169,0.394,0.036,87.1,1.03,2.13,2.64,4.26,3.89,0.5,0.33,0.612,0.113,0.451,0.069,0.278,2020-07-29
"Angels",20,23.1,0.245,0.128,0.77,0.268,0.846,0.362,0.241,0.397,0.087,85.3,1.24,2.31,4.01,4.79,4.55,0.3,0.3,0.649,0.122,0.44,0.086,0.276,2020-07-29
"Astros",18,22.1,0.228,0.089,0,0.358,0.771,0.507,0.239,0.254,0,83.2,1.48,2.42,2.61,4.08,3.96,0.5,0.23,0.475,0.11,0.435,0.015,0.224,2020-07-29
"Padres",20,20.1,0.253,0.089,0.44,0.22,0.753,0.529,0.196,0.275,0.071,85.4,0.93,2.66,3.04,3.73,3.69,0.4,0.362,0.684,0.118,0.422,0.02,0.255,2020-07-29
"Rays",20,26.2,0.318,0.064,0.68,0.288,0.675,0.426,0.25,0.324,0.091,86.4,1.05,2.7,2.33,2.94,2.91,0.6,0.349,0.664,0.125,0.449,0.044,0.382,2020-07-29
